Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-06-02 10:15:00,2023-06-02 13:20:00,03:05:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,B,Otros (P Madera L3),    Mecánica,,N,S,"Se detecta humo por roce en Módulo 2 del RTBBK 210-21-703.
En inspección se detecta desplazado el anillo 50 del rotor 2 descanso libre que está rozando con la placa  Frame originando fricción y provocando la emanación de humo.
Obs., Mecánicos hace retiro del anillo.
Linea queda en servicio a las 13:20 hrs,",,,,,
2023-06-02 09:00:00,2023-06-02 09:00:00,00:00:00,210-20-207  DETECTOR DE METALES,P Madera L3,B,Prueba de Equipo (P Madera L3),  Operaciones,,N,N,,,,,,
2023-06-02 08:00:00,2023-06-02 08:50:00,00:50:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,B,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,Se actúa detector de metales QS-3205 de la cinta 385; se retiran piedras del proceso. Tiempo acumulativo turno.,,,,,
2023-06-02 05:30:00,2023-06-02 05:50:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,A,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,,,,,,
2023-06-02 02:10:00,2023-06-02 05:00:00,02:50:00,210-21-703/3/1  REDUCTOR ACCTO N°3 CENT-SUR DESCOR,P Madera L3,A,Reparación Estructurales (P Madera L3),    Mecánica,,N,S,Rotabarker 703/3 se repone pineta N°16.,,,,,
2023-06-02 01:10:00,2023-06-02 02:10:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-06-01 22:30:00,2023-06-01 23:00:00,00:30:00,210-25-301  CINTA ALIMENTACIÓN A PILA DE ASTILLAS,P Madera L3,C,Sobre Alimentación (Ext.) (P Madera L3),  Operaciones,,S,S,Sobre alimentación cinta.,,,,,
2023-06-01 22:10:00,2023-06-01 22:30:00,00:20:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,C,Limpieza Estructuras (Int.) (P Madera L3),  Operaciones,,N,S,Limpieza cinta pallman 390/4.,,,,,
2023-06-01 21:40:00,2023-06-01 22:10:00,00:30:00,210-25-206  CINTA ALIMENTACION ASTILLADOR L3,P Madera L3,C,Otros (P Madera L3),    Mecánica,,S,S,"Retiro de peineta N°16 de modulo 3 , pendiente instalación para el proximo cambio de cuchillos.

Obs: peineta que al final del recorrido del tecle monorriel  , costado de RTBK.",,,,,
2023-06-01 19:40:00,2023-06-01 20:50:00,01:10:00,210-25-301  CINTA ALIMENTACIÓN A PILA DE ASTILLAS,P Madera L3,C,Sobre Alimentación (Ext.) (P Madera L3),  Operaciones,,S,S,Sobre alimentación cinta.,,,,,
2023-06-01 18:00:00,2023-06-01 18:30:00,00:30:00,210  CIRCUITO DE CORTEZA INT. A CB2,P Madera L3,C,Falla Válvula (P Madera L3),    Electrocontrol,,S,S,"210-23-737 baja eficiencia de bombas , tiempo acumulado.",,,,,
2023-06-01 17:00:00,2023-06-01 17:00:00,00:00:00,210-20-207  DETECTOR DE METALES,P Madera L3,C,Prueba de Equipo (P Madera L3),  Operaciones,,N,N,,,,,,
2023-06-01 13:30:00,2023-06-01 14:10:00,00:40:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,B,Otros (P Madera L3),    Mecánica,,N,S,"Peineta N°16 del M3 en  RTBK se encuentra suelta.
Obs., En proceso de evaluación por especialidad mecánica para intervención.
",,,,,
2023-06-01 12:30:00,2023-06-01 13:30:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,B,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-06-01 11:00:00,2023-06-01 11:30:00,00:30:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,B,Otros (Int.) (P Madera L3),  Operaciones,,N,N,Auto inversiones de limpieza del RTBK 210-21-703 por alto torque,,,,,
2023-06-01 10:15:00,2023-06-01 10:45:00,00:30:00,210-23-458  BOMBA AGUA DE CIRCULACIÓN LÍNEA 1,P Madera L3,B,Falla Válvula (P Madera L3),    Electrocontrol,,N,S,B/B Agua a Efluentes 210-23-737 con baja eficiencia por falla de la válvula automática de descarga  y fuga de agua por caracol. Tiempo acumulativo turno.,,,,,
2023-06-01 08:45:00,2023-06-01 08:45:00,00:00:00,210-20-207  DETECTOR DE METALES,P Madera L3,B,Prueba de Equipo (P Madera L3),  Operaciones,,N,N,,,,,,
2023-06-01 06:00:00,2023-06-01 06:40:00,00:40:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,A,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,N,S,"Trabamiento cinta , tiempo acumulado.",,,,,
2023-06-01 05:10:00,2023-06-01 05:50:00,00:40:00,210-25-702/1/1  TRANSP CADENA ALIMENT A DESCORTEZA,P Madera L3,A,Sobre Alimentación (Ext.) (P Madera L3),  Operaciones,,S,S,Taco de trozos en rastra (trozos apretados).,,,,,
2023-06-01 02:20:00,2023-06-01 03:20:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,Sin novedad.,,,,,
2023-05-31 20:20:00,2023-05-31 20:50:00,00:30:00,210-25-709/1/1  CINTA TRANSPORT DE CORTEZA LADO SU,P Madera L3,C,Taco de Corteza en Cinta (P Madera L3),  Operaciones,,S,S,Taco de corteza en cinta .,,,,,
2023-05-31 17:00:00,2023-05-31 18:00:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,C,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-31 16:00:00,2023-05-31 17:00:00,01:00:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,C,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Trabamiento cinta ( tiempo acumulativo).,,,,,
2023-05-31 14:00:00,2023-05-31 15:00:00,01:00:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,B,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Trabamiento cinta ( tiempo acumulativo).,,,,,
2023-05-31 10:00:00,2023-05-31 10:20:00,00:20:00,210-001-003GAL3  GENERACIÓN DE ASTILLAS L3,P Madera L3,B,Otros (Int.) (P Madera L3),  Operaciones,,S,S,Perdida de eficiencia bomba 210-23-735.,,,,,
2023-05-31 06:00:00,2023-05-31 06:40:00,00:40:00,210-21-391/04  MOTOR ELECTRICO CINTA DE ALIMENTACI,P Madera L3,A,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Trabamiento cinta ( tiempo acumulativo).,,,,,
2023-05-31 04:15:00,2023-05-31 04:50:00,00:35:00,210-21-391/04  MOTOR ELECTRICO CINTA DE ALIMENTACI,P Madera L3,A,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Trabamiento cinta.,,,,,
2023-05-31 03:00:00,2023-05-31 03:20:00,00:20:00,210-21-391/04  MOTOR ELECTRICO CINTA DE ALIMENTACI,P Madera L3,A,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Trabamiento cinta.,,,,,
2023-05-31 02:00:00,2023-05-31 03:00:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,Sin novedad.,,,,,
2023-05-31 01:20:00,2023-05-31 02:00:00,00:40:00,210-25-380  RASTRA CORTEZA BAJO RODILLOS L3,P Madera L3,A,Taco de Corteza en Rastra (Int.) (P Madera L3),  Operaciones,,S,S,Taco de corteza en sproket cola de rastra.,,,,,
2023-05-30 21:00:00,2023-05-30 21:40:00,00:40:00,210-25-386  CINTA TRANS. CORTEZA ESCALPER PICADORE,P Madera L3,C,Taco de Corteza en Cinta (P Madera L3),  Operaciones,,S,S,Cinta 386 taco de cortezaen chute descarga cinta 392.,,,,,
2023-05-30 17:00:00,2023-05-30 18:00:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,C,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-30 14:00:00,2023-05-30 15:00:00,01:00:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,B,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Trabamiento cinta (Tiempo acumulativo durante el turno),,,,,
2023-05-30 13:00:00,2023-05-30 13:20:00,00:20:00,210-25-709/1/1  CINTA TRANSPORT DE CORTEZA LADO SU,P Madera L3,B,Otros (P Madera L3),    Mecánica,,S,S,"Retiro de trozos 3.50 en motriz cinta, por falta de anillos en modulo 1y2.",,,,,
2023-05-30 06:00:00,2023-05-30 06:50:00,00:50:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,A,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,N,S,Cinta 391/4 trabamiento de cinta tiempo acumulativo.,,,,,
2023-05-30 05:30:00,2023-05-30 06:00:00,00:30:00,210-25-392  CINTA TRANSP. RECHAZO ASTILLAS,P Madera L3,A,Taco de Astillas Cinta (Int.) (P Madera L3),  Operaciones,,S,S,Cinta 392 taco de corteza en chute de rechazo scalper 720.,,,,,
2023-05-30 02:50:00,2023-05-30 03:50:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-30 02:25:00,2023-05-30 02:50:00,00:25:00,210-21-706/1/1  HARNERO DISCOS CLASIF PIEDRA Y ARE,P Madera L3,A,Taco de Corteza (Int.) (P Madera L3),  Operaciones,,S,S,Rodillos 706 taco de corteza a bunker.,,,,,
