Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-07-04 13:30:00,2023-07-04 14:20:00,00:50:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Autoinversiones por alto torque en modulos N° 1 y 2 rotabarker.-,Secuencia de limpieza rotores.-,,,,
2023-07-04 12:30:00,2023-07-04 13:00:00,00:30:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,Retiro de metales en cinta (alambres).-,,,,,
2023-07-04 11:50:00,2023-07-04 12:20:00,00:30:00,210-21-720/1/1  HARNERO DISCOS CLASIF DESCAR ASTIL,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,Limpieza de escalper.-,Exceso de corteza en rodillos 720/3.-,,,,
2023-07-04 05:20:00,2023-07-04 06:10:00,00:50:00,210-25-724/1/1  CINTA TRANSPORTADORA DE CORTEZA L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),    Mecánica,,N,S,"210-25-724: Patinamiento cinta por Polín motriz en Mal estado. Mecánicos Eps. Valmet, Instalan Tecle en contrapeso zona cola para tensado de cinta 724.
",,,,,
2023-07-04 04:00:00,2023-07-04 04:30:00,00:30:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-21-713: Auto Limpieza RotaBarker L4, Tiempo acumulativo durante turno.",,,,,
2023-07-04 03:00:00,2023-07-04 03:20:00,00:20:00,210-25-711  MESA RECEPTORA,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-21-713/1: Trabamiento de Rotores Módulo N° 1, por Corteza en Rotabarker L4. (Consumo desde C1-B07)",,,,,
2023-07-04 01:40:00,2023-07-04 02:30:00,00:50:00,210-21-718/1/1  ASTILLADOR L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,210-21-718: Cambio cuchillos Astillador L4.,,,,,
2023-07-04 01:00:00,2023-07-04 01:10:00,00:10:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,210-25-385: Actúa Detector Metales QS-3205. (Retiro alambres-(01) perno peineta),,,,,
2023-07-03 19:00:00,2023-07-03 19:40:00,00:40:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Autoinversiones de Rotabarker.,,,,,
2023-07-03 18:20:00,2023-07-03 18:30:00,00:10:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,Actuaciones sensor de nivel LSH-3227. se realiza limpieza.,,,,,
2023-07-03 16:50:00,2023-07-03 17:15:00,00:25:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,"Actuaciones detector de metales, alambres.",,,,,
2023-07-03 13:30:00,2023-07-03 14:30:00,01:00:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Autoinversiones por alto torque en modulos N° 1 y 2.-,Secuencia de limpieza rotores,,,,
2023-07-03 11:00:00,2023-07-03 11:25:00,00:25:00,210-21-720/1/1  HARNERO DISCOS CLASIF DESCAR ASTIL,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,Limpieza de escalper.-,Exceso de corteza en rodillos.-,,,,
2023-07-03 06:20:00,2023-07-03 07:10:00,00:50:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- 210-21-713/1-2 Inversiones Autolimpieza Rotores RotaBarker Por Alto Torque .-

- Obs. : Tiempo Acumulado Durante Turno",,,,,
2023-07-03 05:30:00,2023-07-03 05:55:00,00:25:00,210-25-711B/2/1  RODILLO SEPARADOR DE PIEDRAS Y AR,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- Corteza Desprendida En Zona Media Separador Produce Trabamiento En Equipo .-

- Obs. : Tiempo Acumulado Durante Turno
",,,,,
2023-07-03 01:25:00,2023-07-03 02:30:00,01:05:00,210-21-728/1/1  PICADOR DE CORTEZA N°3 NORTE L3 Y,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- Despunte De Trozo Suspendido En Platinas Dosificadoras Chute Triturador Provoca  Atollo De Corteza En Equipo .-

- Obs. : Se Despeja Chute Para Direccionar Paleta De Distribución a Triturador 729 .-",,,,,
2023-07-03 00:15:00,2023-07-03 00:15:00,00:00:00,210-20-716/1  DETECTOR DE METALES L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,N,- Prueba De Equipo.Rutina Control Operación Terreno .-,,,,,
2023-07-03 00:10:00,2023-07-03 00:50:00,00:40:00,210-25-712/1/1  TRANSP CADENA ALIMENT A DESCORTEZA,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- Limpieza y/o Retiro De Corteza Placa Traspaso PowerFeed a Mod.n°1 RotaBarker.
",,,,,
2023-07-02 18:30:00,2023-07-02 19:35:00,01:05:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Autoinversiones de Rotabarker.,,,,,
2023-07-02 17:00:00,2023-07-02 18:20:00,01:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,C,Intervención Eléctrica (P Madera L1),    Mecánica,,N,S,Cambio de polines de carga (8) y limpieza de equipo.,,,,,
2023-07-02 16:15:00,2023-07-02 16:35:00,00:20:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P.Madera L4,C,Intervención Eléctrica (P Madera L1),    Mecánica,,S,S,"Trabamientos de cinta 390/4, tpo. acumulativo en turno.",,,,,
2023-07-02 11:40:00,2023-07-02 12:05:00,00:25:00,210-25-711  MESA RECEPTORA,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"Sin alimentación, por falla en ramplas de transporte interno.",,,,,
2023-07-02 10:50:00,2023-07-02 11:00:00,00:10:00,210-25-717/1/1  TRANSP CADENA ALIMENTACION ASTILLA,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Retiro taco de corteza en canalón.,,,,,
2023-07-02 10:00:00,2023-07-02 10:30:00,00:30:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"Autoinversiones, por alto torque.",,,,,
2023-07-02 09:00:00,2023-07-02 09:15:00,00:15:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Retiro de metales en detector (tiempo acumulado),,,,,
2023-07-02 06:20:00,2023-07-02 07:00:00,00:40:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- 210-21-713/1-2 Inversiones Autolimpieza Rotores RotaBarker Por Alto Torque .-

- Obs. : Tiempo Acumulado Durante Turno",,,,,
2023-07-02 05:40:00,2023-07-02 06:00:00,00:20:00,210-25-711B/2/1  RODILLO SEPARADOR DE PIEDRAS Y AR,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- Corteza Desprendida En Zona Media Separador Produce Trabamiento En Equipo .-


",,,,,
2023-07-02 00:15:00,2023-07-02 00:15:00,00:00:00,210-20-716/1  DETECTOR DE METALES L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,N,- Prueba De Equipo.Rutina Control Operación Terreno .-,,,,,
2023-07-01 22:30:00,2023-07-01 22:50:00,00:20:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-21-713/1: Trabamiento de Rotores Módulo N° 1, por Corteza en Rotabarker L4. (Consumo desde C1-B21)",,,,,
2023-07-01 21:50:00,2023-07-01 22:00:00,00:10:00,210-25-716/1/1  CINTA TRANSP ALIMENT REVERS ASTILL,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,210-25-716: Corte de Trozo con gancho en Cinta 716/1.,,,,,
2023-07-01 20:00:00,2023-07-01 20:30:00,00:30:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-21-713: Auto Limpieza RotaBarker L4, Tiempo acumulativo durante turno.",,,,,
2023-07-01 18:00:00,2023-07-01 19:00:00,01:00:00,210-21-718/1/1  ASTILLADOR L4,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,210-21-718: Cambio cuchillos Astillador L4.,,,,,
2023-07-01 17:00:00,2023-07-01 17:20:00,00:20:00,210-25-711  MESA RECEPTORA,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-21-713/1: Trabamiento de Rotores Módulo N° 1, por Corteza en Rotabarker L4. (Consumo desde C1-B21)",,,,,
2023-07-01 16:30:00,2023-07-01 16:40:00,00:10:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,210-25-385: Actúa Detector Metales QS-3205. (Retiro alambres),,,,,
2023-07-01 12:45:00,2023-07-01 13:00:00,00:15:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Retiro de metales en deetctor (tiempo acumulado).,,,,,
2023-07-01 10:40:00,2023-07-01 11:00:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"Retiro taco de corteza, caida cinta 709.",,,,,
2023-07-01 09:00:00,2023-07-01 09:30:00,00:30:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"Autoinversiones, por alto torque.",,,,,
2023-07-01 06:50:00,2023-07-01 06:50:00,00:00:00,210-25-724/1/1  CINTA TRANSPORTADORA DE CORTEZA L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),    Mecánica,,N,N,- Centrado De Cinta .Desplazamiento En Sector Retorno y Roce Con Estructura .-,,,,,
2023-07-01 06:30:00,2023-07-01 06:55:00,00:25:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- 210-21-713/1-2 Inversiones Autolimpieza Rotores RotaBarker Por Alto Torque .-

- Obs. : Tiempo Acumulado Durante Turno",,,,,
2023-07-01 05:40:00,2023-07-01 06:00:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"- Limpieza y/o Retiro De Corteza Sensor LSH-3227 y Chute Descarga Cinta Saalasti 728 .-

- Obs. : Tiempo Acumulado Durante Turno",,,,,
2023-07-01 00:10:00,2023-07-01 00:10:00,00:00:00,210-20-716/1  DETECTOR DE METALES L4,P.Madera L4,A,Intervención Eléctrica (P Madera L1),  Operaciones,,N,N,- Prueba De Equipo.Rutina Control Operación Terreno .-,,,,,
2023-06-30 23:05:00,2023-06-30 23:20:00,00:15:00,210-25-386  CINTA TRANS. CORTEZA ESCALPER PICADORE,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-25-386: Taco corteza en cinta, llegada a Cinta 392.",,,,,
2023-06-30 22:00:00,2023-06-30 22:30:00,00:30:00,210-25-711  MESA RECEPTORA,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-25-711/A: Sin alimentación APCO, por Suspender descarga ferrocarril por Falta de Locomotora para movimientos de carros vacíos, Se Retornan equipos APCO a Canchas.",,,,,
2023-06-30 19:20:00,2023-06-30 19:35:00,00:15:00,210-25-711  MESA RECEPTORA,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-25-711/A: Sin alimentación APCO, por caminos interior canchas en Mal estado.",,,,,
2023-06-30 18:00:00,2023-06-30 18:30:00,00:30:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"210-21-713: Auto Limpieza RotaBarker L4, Tiempo acumulativo durante turno.",,,,,
2023-06-30 17:00:00,2023-06-30 17:20:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P.Madera L4,C,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,210-25-385: Actúa Detector Metales QS-3205. (Retiro alambres-Barro),,,,,
2023-06-30 10:50:00,2023-06-30 11:10:00,00:20:00,210-25-711  MESA RECEPTORA,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"Retiro de corteza en bunker de picadores pallaman, cargador EPS Chome (tiempo acumulado).",,,,,
2023-06-30 10:10:00,2023-06-30 10:45:00,00:35:00,210-21-390  PICADOR DE CORTEZA N° 1,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,Sobrecarga de picador por exceso de corteza.,,,,,
2023-06-30 09:30:00,2023-06-30 10:00:00,00:30:00,210-21-713/1/1  DESCORTEZADOR L4,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,N,S,"Autoinversiones, por alto torque.",,,,,
2023-06-30 08:45:00,2023-06-30 09:10:00,00:25:00,210-25-716/1/1  CINTA TRANSP ALIMENT REVERS ASTILL,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,Corte de trozo en forma de Y.,,,,,
2023-06-30 08:00:00,2023-06-30 08:30:00,00:30:00,210-21-391  PICADOR DE CORTEZA N° 2,P.Madera L4,B,Intervención Eléctrica (P Madera L1),  Operaciones,,S,S,"Sobrecarga de picador, por exceso de cvorteza.",,,,,
