Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-07-04 11:50:00,2023-07-04 12:10:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L2,B,Retiro de Lodo desde Buncker (Ext.) (P Madera L2),  Operaciones,,S,S,,,,,,
2023-07-04 11:20:00,2023-07-04 11:40:00,00:20:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L2,B,Falla en Capota (P Madera L2),    Mecánica,,S,S,Pernos sueltos en capota5,,,,,
2023-07-04 10:45:00,2023-07-04 11:00:00,00:15:00,210-25-382  RASTRA CORTEZA BAJO RODILLOS L2,P Madera L2,B,Otros (Int.) (P Madera L2),  Operaciones,,S,S,Corte fusible mecanico,,,,,
2023-07-04 09:15:00,2023-07-04 10:15:00,01:00:00,210-21-109  ASTILLADOR L2,P Madera L2,B,Cambio de Cuchillos (Int) (P Madera L2),  Operaciones,,N,S,,,,,,
2023-07-04 03:50:00,2023-07-04 04:30:00,00:40:00,210-21-102  EQUALIZADOR (TAMBOR),P Madera L2,A,Taco de Trozos (Int.) (P Madera L2),  Operaciones,,N,S,- Taco de trozos salida descortezador,,,,,
2023-07-04 02:40:00,2023-07-04 03:00:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L2,A,Retiro de Lodo desde Buncker (Ext.) (P Madera L2),  Operaciones,,N,S,,,,,,
2023-07-04 00:40:00,2023-07-04 01:40:00,01:00:00,210-21-109  ASTILLADOR L2,P Madera L2,A,Cambio de Cuchillos (Int) (P Madera L2),  Operaciones,,N,S,"- Retiro cuchillos con desgaste normal
- Se inspecciona ducto de fino",,,,,
2023-07-04 00:30:00,2023-07-04 00:30:00,00:00:00,210-20-107  DETECTOR DE METALES,P Madera L2,A,Prueba de Equipos (Int.) (P Madera L2),  Operaciones,,N,N,"- Equipo operativo 
- Rutina operador terreno",,,,,
2023-07-03 18:00:00,2023-07-03 19:00:00,01:00:00,210-21-109  ASTILLADOR L2,P Madera L2,C,Cambio de Cuchillos (Int) (P Madera L2),  Operaciones,,N,S,,,,,,
2023-07-03 14:50:00,2023-07-03 15:10:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L2,B,Retiro de Lodo desde Buncker (Ext.) (P Madera L2),  Operaciones,,S,S,,,,,,
2023-07-03 11:00:00,2023-07-03 11:20:00,00:20:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L2,B,Trabamiento Cinta (Int.) (P Madera L2),  Operaciones,,S,S,,,,,,
2023-07-03 09:50:00,2023-07-03 10:50:00,01:00:00,210-21-109  ASTILLADOR L2,P Madera L2,B,Cambio de Cuchillos (Int) (P Madera L2),  Operaciones,,N,S,,,,,,
2023-07-03 07:20:00,2023-07-03 07:59:00,00:39:00,210-25-382  RASTRA CORTEZA BAJO RODILLOS L2,P Madera L2,A,Otros (Int.) (P Madera L2),  Operaciones,,N,S,_Corte fusible mecanico.(Espera recurso elec):,,,,,
2023-07-03 06:40:00,2023-07-03 07:05:00,00:25:00,210-25-382  RASTRA CORTEZA BAJO RODILLOS L2,P Madera L2,A,Otros (Int.) (P Madera L2),  Operaciones,,N,S,_Corte fusible mecanico.,,,,,
2023-07-03 06:05:00,2023-07-03 06:15:00,00:10:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L2,A,Trabamiento Cinta (Int.) (P Madera L2),  Operaciones,,S,S,"trabamiento de cinta, se activa detector y no  inbierte.",,,,,
2023-07-03 06:00:00,2023-07-03 06:30:00,00:30:00,210-25-101  MESA ALIMENTACION  L2,P Madera L2,A,Sin Alimentación  (Ext.) (P Madera L2),  Operaciones,,N,S,"_Sin alimentación,(movimiento Transap).",,,,,
2023-07-03 04:30:00,2023-07-03 04:50:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L2,A,Retiro de Lodo desde Buncker (Ext.) (P Madera L2),  Operaciones,,N,S,_Retiro de contenedor y limpieza.,,,,,
