Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-07-04 14:45:00,2023-07-04 15:20:00,00:35:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Espera Reposición Equipo(s) (P Madera L1),    Electrocontrol,,N,S,Electrista EPS Valmet se encuentra en Area BIO MADERA.,,,,,
2023-07-04 13:45:00,2023-07-04 14:45:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-04 11:50:00,2023-07-04 12:10:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,B,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-04 11:20:00,2023-07-04 11:40:00,00:20:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L1,B,Reposición de Pernos (P Madera L1),    Mecánica,,N,S,Detencion de equipo por soltura de pernos de capota.,,,,,
2023-07-04 05:40:00,2023-07-04 06:40:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,A,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-04 02:40:00,2023-07-04 03:00:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,A,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-04 02:00:00,2023-07-04 02:20:00,00:20:00,210-27-004/6  REDUCTOR ACCIONAMIENTO N°6 ROD SEPAR,P Madera L1,A,Limpieza de Equipo (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-04 01:00:00,2023-07-04 01:20:00,00:20:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,A,Otros (P Madera L1),  Operaciones,,S,S,Separar-dosificar trozos.,,,,,
2023-07-03 22:00:00,2023-07-03 23:00:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,C,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-03 20:30:00,2023-07-03 21:00:00,00:30:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,C,Otros (P Madera L1),  Operaciones,,S,S,Dosificar trozos.,,,,,
2023-07-03 17:20:00,2023-07-03 17:50:00,00:30:00,210-25-004/15  RASTRA DE CORTEZA SAL. DESC. L1,P Madera L1,C,Espera de Recurso Eléctrico (P Madera L1),    Electrocontrol,,S,S,Personal electrisista Valmet se encuentra en apoyo area clasificasion por prueba de sentido de giro motor cinta 210 25 376,,,,,
2023-07-03 14:50:00,2023-07-03 15:10:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,B,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-03 12:15:00,2023-07-03 12:45:00,00:30:00,210-25-004/15  RASTRA DE CORTEZA SAL. DESC. L1,P Madera L1,B,Falla en MCC (P Madera L1),    Electrocontrol,,N,S,,,,,,
2023-07-03 09:50:00,2023-07-03 12:15:00,02:25:00,210-25-004/07  MOTOR ELECTRICO ACCIONAMIENTO N°7 R,P Madera L1,B,Falla Sproket (P Madera L1),    Mecánica,,N,S,"Corte de pernos de cono.
Se procede a soldar sproket al eje.",,,,,
2023-07-03 08:50:00,2023-07-03 09:50:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-03 06:05:00,2023-07-03 06:15:00,00:10:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,A,Trabamiento Cinta (P Madera L1),  Operaciones,,S,S,"trabamiento de cinta, se activa detector y no  inbierte.",,,,,
2023-07-03 04:30:00,2023-07-03 04:50:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,A,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,_Retiro de contenedor y limpieza.,,,,,
2023-07-03 02:10:00,2023-07-03 02:20:00,00:10:00,210-QK-1142  DETECTOR DE METALES ALIM. ASTILLADOR,P Madera L1,A,Retiro de Metal (P Madera L1),  Operaciones,,S,S,retiro de almabra entre rollozos.,,,,,
2023-07-03 01:50:00,2023-07-03 02:20:00,00:30:00,210-25-001  MESA ALIMENTACION  L1,P Madera L1,A,Sin Alimentación  (P Madera L1),  Operaciones,,S,S,tiempo acumulado de falta de alimentacion por mal estado de las canchas.,,,,,
2023-07-03 00:20:00,2023-07-03 00:35:00,00:15:00,210-25-384  CINTA TRANSPORTADORA DE CORTEZA L1 Y L,P Madera L1,A,Taco de Corteza en Cinta (P Madera L1),  Operaciones,,N,S,_Taco de corteza en chute de descarga rastra 381 a cinta 384.,,,,,
2023-07-02 22:15:00,2023-07-02 23:15:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,C,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-02 21:45:00,2023-07-02 22:00:00,00:15:00,210-25-407  TRANSPORTADOR DESCARGA PIEDRAS N°1,P Madera L1,C,Taco de Corteza (P Madera L1),  Operaciones,,S,S,"Rastra 407 : 15 min, taco de corteza canalon de evacuacion de corteza bajo descortezador.",,,,,
2023-07-02 21:20:00,2023-07-02 21:35:00,00:15:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,C,Otros (P Madera L1),  Operaciones,,S,S,tiempo acumulado de dosificacion de trozos y corteza en rodillos.,,,,,
2023-07-02 19:45:00,2023-07-02 20:05:00,00:20:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,C,Trabamiento Cinta (P Madera L1),  Operaciones,,S,S,tiempo acumulado de trabamiento de cinta,,,,,
2023-07-02 18:30:00,2023-07-02 18:40:00,00:10:00,210-25-006  CINTA ALIMENTACION ASTILLADOR L1,P Madera L1,C,Reapriete de Pernos (P Madera L1),    Mecánica,,S,S,reaprete de pernos tensores de cinta 210-25-006,,,,,
2023-07-02 14:50:00,2023-07-02 15:30:00,00:40:00,210-25-412  RASTRA CORTEZA RECEPTORA AGUA LAVADO,P Madera L1,B,Trabamiento Equipo (P Madera L1),  Operaciones,,S,S,Trabamiento trozo zona motriz.,,,,,
2023-07-02 13:40:00,2023-07-02 14:00:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,B,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-02 12:30:00,2023-07-02 13:30:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-02 11:40:00,2023-07-02 12:10:00,00:30:00,210-25-001  MESA ALIMENTACION  L1,P Madera L1,B,Sin Alimentación  (P Madera L1),  Operaciones,,S,S,Tiempo acumulativo demora ramplas.,,,,,
2023-07-02 10:00:00,2023-07-02 10:20:00,00:20:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,B,Trabamiento Cinta (P Madera L1),  Operaciones,,S,S,,,,,,
2023-07-02 08:00:00,2023-07-02 08:20:00,00:20:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,B,Otros (P Madera L1),  Operaciones,,S,S,Separar-dosificar trozos.,,,,,
2023-07-02 06:00:00,2023-07-02 07:00:00,01:00:00,210-25-006  CINTA ALIMENTACION ASTILLADOR L1,P Madera L1,A,Otros (P Madera L1),  Operaciones,,S,S,tiempo acumulado de dosificacion de trozos y corteza entre cinta 210-25-006 y rodillos 210-25-004,,,,,
2023-07-02 03:15:00,2023-07-02 04:15:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,A,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-02 02:00:00,2023-07-02 02:20:00,00:20:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,A,No Retiro Corteza de Buncker (P Madera L1),  Operaciones,,S,S,tiempo acumulado de no retiro de corteza del bunker por parte de retro chome.,,,,,
2023-07-01 21:45:00,2023-07-01 22:15:00,00:30:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,C,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,_Retiro de contenedor y limpieza.,,,,,
2023-07-01 20:50:00,2023-07-01 21:15:00,00:25:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,C,Otros (P Madera L1),  Operaciones,,S,S,tiempo acumulado de dosificacion de trozos y corteza entre los rodillos 210-25-004,,,,,
2023-07-01 17:00:00,2023-07-01 18:00:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,C,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-01 14:00:00,2023-07-01 14:20:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,B,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,"- retiro contenedor de lodo
- Limpieza en zona",,,,,
2023-07-01 11:00:00,2023-07-01 11:30:00,00:30:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,B,Trabamiento Cinta (P Madera L1),  Operaciones,,S,S,,,,,,
2023-07-01 09:00:00,2023-07-01 10:00:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-01 05:00:00,2023-07-01 05:30:00,00:30:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,A,Otros (P Madera L1),  Operaciones,,S,S,"tiempo acumulado de trabamiento de trzos y corteza entre 210-25-004 y cinta 210-25-006
",,,,,
2023-07-01 02:40:00,2023-07-01 03:00:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,A,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-07-01 01:25:00,2023-07-01 01:45:00,00:20:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,A,Trabamiento Cinta (P Madera L1),  Operaciones,,S,S,tiempo acumuluda do trabamiento de cinta.,,,,,
2023-06-30 23:05:00,2023-06-30 23:20:00,00:15:00,210-25-386  CINTA TRANS. CORTEZA ESCALPER PICADORE,P Madera L1,C,Taco de Corteza (P Madera L1),  Operaciones,,S,S,taco de corteza y trozos entre cinta 210-25-386 y descarga cinta 210-25-392,,,,,
2023-06-30 21:45:00,2023-06-30 22:45:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,C,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-30 21:00:00,2023-06-30 21:15:00,00:15:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,C,Otros (P Madera L1),  Operaciones,,S,S,dosificacion de trozos y corteza entre rodillos 210-25-004 y cinta 210-25-006,,,,,
2023-06-30 18:30:00,2023-06-30 18:50:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,C,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,retiro de contenedor de lodos y limpieza del bumker,,,,,
2023-06-30 12:30:00,2023-06-30 12:50:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,B,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-30 11:30:00,2023-06-30 12:30:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-30 10:40:00,2023-06-30 11:15:00,00:35:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L1,B,Sobrecarga Motor (P Madera L1),  Operaciones,,S,S,,,,,,
2023-06-30 08:00:00,2023-06-30 08:30:00,00:30:00,210-21-391  PICADOR DE CORTEZA N° 2,P Madera L1,B,Sobrecarga Motor (P Madera L1),  Operaciones,,S,S,,,,,,
2023-06-30 04:50:00,2023-06-30 06:40:00,01:50:00,210-25-407  TRANSPORTADOR DESCARGA PIEDRAS N°1,P Madera L1,A,Taco de Corteza (P Madera L1),  Operaciones,,S,S,taco de corteza en canalon de evacacion de corteza bajo descortezador,,,,,
2023-06-30 04:10:00,2023-06-30 04:25:00,00:15:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,A,Otros (P Madera L1),  Operaciones,,S,S,tiempo acumulado de dosificacion de trozos y corteza entre 210-25-004 y cinta 210-25-006,,,,,
2023-06-30 01:15:00,2023-06-30 02:15:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,A,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,,,,,,,
2023-06-30 00:25:00,2023-06-30 00:25:00,00:00:00,210-QK-1142  DETECTOR DE METALES ALIM. ASTILLADOR,P Madera L1,A,Prueba de Equipos (P Madera L1),  Operaciones,,N,N,_Detector de metales operativo.,,,,,
2023-06-30 00:00:00,2023-06-30 00:30:00,00:30:00,210-21-388  CLASIFICADOR DE DISCO,P Madera L1,A,No retiro de corteza bunker Silo (P Madera L1),  Externa,,N,S,_No retiro de corteza desde buncker Chome en pane.,,,,,
2023-06-29 22:30:00,2023-06-29 22:50:00,00:20:00,210-25-407  RASTRA DE CORTEZA TRANSPORTADOR DESCAR,P Madera L1,C,Taco de Corteza en Chute (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-29 18:50:00,2023-06-29 19:10:00,00:20:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L1,C,Sobrecarga Motor (P Madera L1),  Operaciones,,S,S,Mal corte de cuchillos por alto tiempo en proceso,,,,,
2023-06-29 18:00:00,2023-06-29 18:25:00,00:25:00,210-21-388  CLASIFICADOR DE DISCO,P Madera L1,C,Actúa Sensor de Nivel Ciclón (P Madera L1),    Electrocontrol,,N,S,Desarme de andamios por instalacion de camara TV enchutre de descarga.,,,,,
2023-06-29 17:35:00,2023-06-29 17:50:00,00:15:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,C,Sobrecarga Motor (P Madera L1),  Operaciones,,N,S,Sobrecarga de cinta por mal corte de cuchillos,Diversas inverciones de cinta en automatico.,,,,
2023-06-29 15:00:00,2023-06-29 15:59:00,00:59:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-29 13:15:00,2023-06-29 15:00:00,01:45:00,210-21-009  ASTILLADOR L1,P Madera L1,B,Taco en Astillador  (P Madera L1),  Operaciones,,S,S,- Taco de trozos por mal corte del astillador.,,,,,
2023-06-29 08:45:00,2023-06-29 09:10:00,00:25:00,210-21-388  CLASIFICADOR DE DISCO,P Madera L1,B,Taco de Corteza en Chute (P Madera L1),  Operaciones,,S,S,- Taco de corteza al 390.,,,,,
2023-06-29 05:40:00,2023-06-29 06:00:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,A,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,Retiro y reposicion caja receptora de lodo rastra 210-25-413._,,,,,
2023-06-29 04:25:00,2023-06-29 05:25:00,01:00:00,210-25-407  TRANSPORTADOR DESCARGA PIEDRAS N°1,P Madera L1,A,Retiro Taco de Corteza (P Madera L1),  Operaciones,,N,S,Taco de corteza bajo pastelones de cemento en canalon hacia desague rastra 210-25-412._,,,,,
2023-06-29 03:00:00,2023-06-29 03:10:00,00:10:00,210-25-386  CINTA TRANS. CORTEZA ESCALPER PICADORE,P Madera L1,A,Retiro Taco de Corteza (P Madera L1),  Operaciones,,N,S,Retiro de despunte de rollizo bajo chute 210-25-384 con 210-25-386 atrapado en guarderas._,,,,,
2023-06-29 02:15:00,2023-06-29 02:55:00,00:40:00,210-21-391  PICADOR DE CORTEZA N° 2,P Madera L1,A,Sobrecarga Motor (P Madera L1),  Operaciones,,S,S,Pallman 210-21-391 cae por sobrecarga y pallman 210-.21-390 estaba a espera de cambio de cuchillos._,,,,,
2023-06-29 00:50:00,2023-06-29 02:00:00,01:10:00,210-21-009  ASTILLADOR L1,P Madera L1,A,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,"Cambio de cuchillos sin novedades mecanicas, Ducto de fino revisado quedando limpio._",,,,,
2023-06-28 18:40:00,2023-06-28 19:00:00,00:20:00,210-25-394  CINTA EXTRACTORA CORTEZA BAJO PICADORE,P Madera L1,C,Otros (P Madera L1),  Operaciones,,N,S,Retiro de tablones bajo picador 391.,,,,,
2023-06-28 18:20:00,2023-06-28 18:40:00,00:20:00,210-21-390  PICADOR DE CORTEZA N° 1,P Madera L1,C,Sobrecarga Motor (P Madera L1),  Operaciones,,S,S,,,,,,
2023-06-28 16:50:00,2023-06-28 17:50:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,C,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-28 16:20:00,2023-06-28 16:40:00,00:20:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,C,Taco de Corteza en Cinta (P Madera L1),  Operaciones,,S,S,,,,,,
2023-06-28 13:00:00,2023-06-28 13:25:00,00:25:00,210-25-004/15  RASTRA DE CORTEZA SAL. DESC. L1,P Madera L1,B,Espera de Recurso Eléctrico (P Madera L1),    Electrocontrol,,S,S,Electricista en clasificacion.,,,,,
2023-06-28 12:15:00,2023-06-28 12:30:00,00:15:00,210-25-004  RODILLOS SEPARADORES DE CORTEZA,P Madera L1,B,Otros (P Madera L1),  Operaciones,,S,S,Dosificar trozos.,,,,,
2023-06-28 10:40:00,2023-06-28 11:00:00,00:20:00,210-25-413  RASTRA EXTRACTORA SÓLIDOS POZO,P Madera L1,B,Retiro de Lodo desde Buncker (P Madera L1),  Operaciones,,N,S,,,,,,
2023-06-28 02:00:00,2023-06-28 03:00:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,A,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,"Cambio de cuchillos sin novedades mecanicas, ducto de fino revisado quedando limpio._",,,,,
2023-06-27 22:50:00,2023-06-27 23:00:00,00:10:00,210-25-006  CINTA ALIMENTACION ASTILLADOR L1,P Madera L1,C,Retiro de Metal (P Madera L1),  Operaciones,,N,S,Retiro de rollizo con incrustacion de alambre._,,,,,
2023-06-27 19:25:00,2023-06-27 21:45:00,02:20:00,210-21-391  PICADOR DE CORTEZA N° 2,P Madera L1,C,Sobrecarga Motor (P Madera L1),  Operaciones,,S,S,Caida por sobrecarga motor pallman 210-21-391 y pallman 210-21-390 se encontraba en misma condicion de sobrecarga en proceso de limpieza para cambio de cuchillo.,,,,,
2023-06-27 18:00:00,2023-06-27 18:15:00,00:15:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L1,C,Limpieza Polin Motriz (P Madera L1),  Operaciones,,S,S,,,,,,
2023-06-27 16:40:00,2023-06-27 17:40:00,01:00:00,210-21-009  ASTILLADOR L1,P Madera L1,C,Cambio de Cuchillos (P Madera L1),  Operaciones,,N,S,,,,,,
